year,country,pop,labor_force,gdp,unemployment_r,pop_over_65,gdp_over_pop,continent,hours_worked_over_pop_combined,pop_0_to_14,pop_15_to_64,gdp_ppp_c,gdp_ppp,gdp_c
2005,Japan,127773000,66666567,4831467035389.8,4.446,20.6044121547619,37812.89501999483,3,911.3708451707324,NA,NA,5277197863477.79,4110440479265.64,4229100705435.47
2005,"Korea, Rep.",48184561,24332457,934901071332.984,3.482,9.05663545023293,19402.502625954898,3,1112.759580859312,NA,NA,1513828374352.76,1213618156671.84,1021377732486.55
2005,"Macao SAR, China",488619,258031,12160056122.3757,4.158,7.07371182864358,24886.580592190847,3,1311.8439785350581,NA,NA,41237453078.5274,28683061075.5057,23416654732.084
2005,Mongolia,2559255,1077414,2523471601.10421,7.015,3.64891345332919,986.0180408377475,3,870.8808198636705,NA,NA,19022667065.9545,13712180012.8329,5225662152.64429
2005,"Korea, Dem. People's Rep.",24100982,13585222,NA,3.032,8.1255734724834,NA,3,1124.2415160150606,NA,NA,NA,NA,NA
2006,China,1311020000,774287037,2752118657184.02,4.43,7.99680158939711,2099.2194300499,3,1251.383690561385,NA,NA,9060141767713.25,7660752769348.59,4982879973774.79
2006,"Hong Kong SAR, China",6857100,3614884,193535442896.365,4.77,12.6218529178794,28224.095156314623,3,1162.4275175651746,NA,NA,349586981406.891,286252740452.931,236281938102.053
2006,Japan,127854000,66782268,4601663122649.92,4.192,21.2572911293989,35991.546002862015,3,921.8041985389584,NA,NA,5349619495092.01,4300322202225.7,4287138774363.71
2006,"Korea, Rep.",48438292,24612208,1053216909887.56,3.254,9.47429212721663,21743.477451425413,3,1121.8700956695166,NA,NA,1593521244061.43,1302227991055.99,1075146392089.85
2006,"Macao SAR, China",501863,276694,14874098691.9082,3.822,6.99344940098134,29637.767063736916,3,1481.105842318065,NA,NA,46759208631.6996,33526744909.7074,26552179204.3975
2006,Mongolia,2581242,1099078,3414055661.61598,7.193,3.72572583275803,1322.640675154046,3,870.8808198636705,NA,NA,20650291128.5059,15344468578.4177,5672782077.14901
2006,"Korea, Dem. People's Rep.",24235761,13752011,NA,2.997,8.46196040635984,NA,3,1124.2415160150606,NA,NA,NA,NA,NA
2007,China,1317885000,776045127,3550327802998.4,4.35,8.15896421485941,2693.9587316028333,3,1233.1229528940898,NA,NA,10349477943026.9,8988029531096.95,5691986693310.73
2007,"Hong Kong SAR, China",6916300,3662908,211596944503.8,4.01,12.7458212081759,30593.951173864636,3,1186.9956405001794,NA,NA,372187131113.23,313015143138.19,251557126990.724
2007,Japan,128001000,66892223,4579750920354.81,3.888,21.9407321004338,35779.02454164272,3,927.5373239271568,NA,NA,5429006212038.04,4482081297524.2,4350758602409.6
2007,"Korea, Rep.",48683638,24884098,1172614086539.86,3.013,9.91104300006547,24086.410439167674,3,1114.8186258003764,NA,NA,1685938280114.59,1414985950534.54,1137500027631.58
2007,"Macao SAR, China",515330,299524,18439981612.4086,3.27,6.94118331942639,35782.860715286515,3,1487.985791537703,NA,NA,53528418224.0836,39420147194.484,30396069454.6541
2007,Mongolia,2605643,1118127,4234999703.90059,7.2,3.77975800982713,1625.3184737512354,3,860.481881485375,NA,NA,22766536341.5375,17375296734.3116,6254129712.42599
2007,"Korea, Dem. People's Rep.",24356506,13918220,NA,2.98,8.76642158772691,NA,3,1125.4332411742475,NA,NA,NA,NA,NA
2008,China,1324655000,776378230,4594336785737.67,4.59,8.30353186248458,3468.327063075042,3,1219.608991431467,NA,NA,11348272829141.9,10045321032098.2,6241302053216.75
2008,"Hong Kong SAR, China",6957800,3680131,219278749139.734,3.56,12.8672679233498,31515.529210344364,3,1169.2299711855817,NA,NA,380107205579.866,325835277892.407,256910216906.595
2008,Japan,128063000,66726949,5106679115127.3,4.002,22.5817563321146,39876.303968572494,3,918.406417154057,NA,NA,5362539486135.2,4517267516318.56,4297492743392.06
2008,"Korea, Rep.",49054708,25067295,1047339010225.25,2.959,10.3017375916649,21350.427979823056,3,1074.3023490207036,NA,NA,1736735345459.39,1468996086974.66,1171772731392.34
2008,"Macao SAR, China",529038,315892,21027018332.6663,2.999,6.92529938747369,39745.76180286917,3,1509.2114820563736,NA,NA,55343750751.272,41542289243.7647,31426904577.5737
2008,Mongolia,2633887,1105129,5623216608.04288,5.565,3.80745191280949,2134.9498319566783,3,860.9985226842969,NA,NA,24792841843.2819,19286329499.5587,6810770268.31901
